add-m,8,100,1600,485717,303,0
add-c,8,100,1600,412439,257,0
add-s,8,100,1600,857848,536,0
add-m,8,1000,16000,3803799,237,0
add-c,8,1000,16000,1633686,102,0
add-s,8,1000,16000,4161388,260,0
add-m,8,10000,160000,38792859,242,0
add-c,8,10000,160000,15477922,96,0
add-m,12,1,24,1310477,54603,0
add-c,12,1,24,1220483,50853,0
add-s,12,1,24,1340918,55871,0
add-m,12,10,240,1218942,5078,0
add-c,12,10,240,1131792,4715,0
add-s,12,10,240,971682,4048,0
add-m,12,100,2400,1376654,573,0
add-c,12,100,2400,1364432,568,0
add-s,12,100,2400,963167,401,0
add-m,12,1000,24000,5370985,223,0
add-c,12,1000,24000,2475059,103,0
add-s,12,1000,24000,10473700,436,0
add-m,12,10000,240000,60406326,251,0
add-c,12,10000,240000,26219141,109,0
add-none,1,10000,20000,468667,23,0
add-m,1,10000,20000,1015348,50,0
add-c,1,10000,20000,659966,32,0
add-s,1,10000,20000,642205,32,0
add-none,2,10000,40000,978242,24,-620
add-m,2,10000,40000,3318880,82,0
add-c,2,10000,40000,3057015,76,0
add-s,2,10000,40000,2545087,63,0
add-none,4,10000,80000,2256696,28,-2692
add-m,4,10000,80000,11443843,143,0
add-c,4,10000,80000,7344091,91,0
add-s,4,10000,80000,13443754,168,0
add-none,8,10000,160000,4260711,26,-6125
add-m,8,10000,160000,40716322,254,0
add-c,8,10000,160000,15379736,96,0
add-s,8,10000,160000,42040565,262,0
add-none,12,10000,240000,6460255,26,-9620
add-m,12,10000,240000,55443214,231,0
add-c,12,10000,240000,25415334,105,0
add-s,12,10000,240000,89121729,371,0
